Modelo,Fabricante,Estoque Atual
Inspiron 15,Dell,0
Inspiron 5566,Dell,0
Inspiron 5458,Dell,0
Vostro 14 5490,Dell,0
Pavilion dm4-2165br,HP,0
MEGANOTE,Megaware,1
RT5390,ASUS,1
LGE50,LG,1
