ENTRADA,PATRIMÔNIO,STATUS,SERIAL,CATEGORIA,FABRICANTE,MODELO,LOCAL,SAÍDA,OBSERVAÇÃO
,83,À testar,HMT31GR7CFR4A-PB T8 AF 1327,Memória,Hynix,HMT31GR7CFR4A-PB,Escritório,,
,84,À testar,HMT31GR7CFR4A-PB T8 AF 1327,Memória,Hynix,HMT31GR7CFR4A-PB,Escritório,,
29/12/2021,85,À testar,CN-09M1D2-71070-2A4-0009-A01,Servidor,Dell,PowerEdge T320,Estoque,,
29/12/2021,86,À testar,CN-03P0R3-13740-2AE-0060-A01,Placa Controladora,Dell,UCSA-801 - H310,Estoque,,
29/12/2021,87,À testar,,Desktop,Dell,Optiplex 990,Escritório,,
,88,À testar,G121005109099,Adaptador AC,Sunny,SYS1428-2412-W2B,Estoque,,
,89,À testar,,,,,,,
,90,À testar,,,,,,,
,91,À testar,,Memória,,,960,,
,92,À testar,,,,,,,
,93,À testar,,,,,,,
,94,À testar,,,,,,,
,95,À testar,,,,,,,
,96,À testar,,,,,,,
,97,À testar,,,,,,,
,98,À testar,,,,,,,
,99,À testar,,,,,,,
,100,À testar,,,,,,,
,101,À testar,PBH2YH1X,HD,Oracle,HUS724040ALS640,Escritório,,
,102,À testar,PBH3J16X,HD,Oracle,HUS724040ALS640,Escritório,,
,103,À testar,PAKRGGJX,HD,Oracle,HUS724040ALS640,Escritório,,
,104,À testar,PBH2XTYX,HD,Oracle,HUS724040ALS640,Escritório,,
,105,À testar,PBH6DW8X,HD,Oracle,HUS724040ALS640,Escritório,,
,106,À testar,PBH5Z1PX,HD,Oracle,HUS724040ALS640,Escritório,,
,107,À testar,PBH3VDGX,HD,Oracle,HUS724040ALS640,Escritório,,
,108,À testar,PBH3UH6X,HD,Oracle,HUS724040ALS640,Escritório,,
,109,À testar,PBH6BY0X,HD,Oracle,HUS724040ALS640,Escritório,,
,110,À testar,PBH76TNX,HD,Oracle,HUS724040ALS640,Escritório,,
,111,À testar,PAKTB8BX,HD,Oracle,HUS724040ALS640,Escritório,,
,112,À testar,PBH2VGVX,HD,Oracle,HUS724040ALS640,Escritório,,
,113,À testar,3LM5F2R4,HD,Seagate,ST3300655SS,,,
,114,À testar,MX-08DF80-74757-2811-0058,Servidor,Dell,C6100,Escritório,,
,115,À testar,2916NP3203,Lâmina,Dell,C6100,Escritório,,
,116,À testar,291CNP7535,Lâmina,Dell,C6100,Escritório,,
,117,À testar,2921NP5535,Lâmina,Dell,C6100,960,,
,118,À testar,,,,,962,,
,119,À testar,,,,,,,
,120,À testar,,,,,,,
,121,À testar,,Lâmina,Dell,C6100,Escritório,,
,122,À testar,MX-08DF80-74757-236-0394,Servidor,Dell,C6100,Encontre sua franquia,,
,123,À testar,1074F64MX210008,Memória,Samsung,M393B5273DH0-YH9,Concert,,
,124,À testar,1074F64MX2102SS,Memória,Samsung,M393B5273DH0-YH9,0962 e 0122,,
,125,À testar,2CKYFP2,Notebook,Dell,Inspiron 5566,,,
,126,À testar,PA-1650-02B4 08D3F,Adaptador AC,Dell,LA65NS2-01,Escritório,,
,127,À testar,76JCCD2,Notebook,Dell,Inspiron 5458,,,
,128,À testar,,Adaptador AC,Dell,LA45NM140,Escritório,,
,129,À testar,,,,,,,
,130,À testar,,,,,,,
,131,À testar,3QN28DT6,HD,Dell,ST3146356SS,Escritório,,
,132,À testar,WMC6M0K7U1N9,HD,Dell,HUS722T1TALA600,Estoque,,
,133,À testar,WMC6M0K80VN1,HD,Dell,HUS722T1TALA600,Estoque,,
,134,À testar,WMC6M0K4CNH3,HD,Dell,HUS722T1TALA600,Estoque,,
,135,À testar,6SJ1D842,HD,Dell,ST3300657SS-H,Estoque,,
,136,À testar,95QOTD7BT YY3 HDKEB98D2A01 T,HD,Toshiba,MQ01ABD100,Escritório,,
,137,À testar,S32SJ5AH200022,HD,Seagate,ST1000LM024,Concert,,
,138,DEFEITO,S23SJ56B328944,HD,Samsung,HM502JX,Estoque,,
,139,À testar,ASMK1640616,Memória,Kingston,KVR533D2N4/1G,Estoque,,
,140,À testar,7.95745E+11,Memória,Markvision,LU1G082-533P005 CL4,Estoque,,
,141,À testar,PC5300U-50550 3-9040901,Memória,Markvision,PC5300U-50550 3-9040901,Estoque,,
,142,À testar,PC5300U-50550 3-9040901,Memória,Markvision,PC5300U-50550 3-9040901,Estoque,,
,143,À testar,BMD22048M0667C5-1029,Memória,Markvision,BMD22048M0667C5-1029,Estoque,,
,144,À testar,5E+11,Memória,Markvision,PC6400U-50550,Estoque,,
,145,À testar,WTL40-E9QPC6-4W796,Memória,Kingston,KVR667D2N5/2G,Estoque,,
,146,À testar,U0J82-U9LC2F-JV920,Memória,Kingston,KTD-PE6950/4G,Estoque,,
,147,À testar,Y9JW0-M9JCXK-BV910,Memória,Kingston,KTD-PE6950/4G,Estoque,,
,148,À testar,4085962-0921373,Memória,Kingston,KVR667D2/2GR,Estoque,,
,149,À testar,4063254-1536472,Memória,Kingston,KVR667D2N5/2G,Estoque,,
,150,À testar,BKMK1650867,Memória,Kingston,KVR667D2N5/1G,Estoque,,
,151,À testar,SBR2008080911428,Memória,Smart,M378T2863QZS-CF7,Estoque,,
