ENTRADA,PATRIMÔNIO,STATUS,SERIAL,CATEGORIA,FABRICANTE,MODELO,LOCAL,SAÍDA,OBSERVAÇÃO
,469,Desconhecido,,,,,,,
,470,Desconhecido,,,,,,,
,471,Desconhecido,,,,,,,
,472,À testar,5120623,Adaptador AC,BestBattery,BB20-DE19-A,,,
,473,À testar,WMATV2687422,HD,Dell,WD1002FBYS,Estoque,,
,474,À testar,WMATV2685937,HD,Dell,WD1002FBYS,Estoque,,
,475,À testar,6XN21Y2P,HD,Seagate,ST9300653SS,Estoque,,
,476,À testar,,,Brother,PT-7600,,,
,477,Desconhecido,,,,,,,
,478,Desconhecido,,,,,,,
,479,Desconhecido,,,,,,,
,480,Desconhecido,,,,,,,
,481,À testar,RX8R90FKY5A,,Samsung,Galaxy A02,Rosildo,,
,482,À testar,RX8RA0D234D,,Samsung,Galaxy A02,Euler,,
,483,À testar,18cc3b90,,Redmi,Note 8,Leandro/Escritório,,
,484,À testar,,,,,,,
,485,À testar,BWSMN33,,Dell,Vostro 15 P75F,Camila Taborda,21/02/2022,"""Reservado Cloves"""
,486,À testar,465769T+1321TC0633,Placa controladora,Oracle,7056272,115,,
,487,À testar,465769T+1321TC065A,Placa controladora,Oracle,7056272,962,,
,488,À testar,465769T+1321TC066U,Placa controladora,Oracle,7056272,,,
,489,À testar,1.80387E+11,HD,Sandisk,SDSSDA,255,,
,490,À testar,0W811K,Servidor,Dell,PowerEdge T310,,,
,491,À testar,047MCV,,Dell,UCS-71,,,
,492,À testar,SBR2014010324058,Memória,Smart,,,,
,493,À testar,SBR2012110528976,Memória,Smart,,,,
,494,À testar,M391B5273CH0-CH9 1039,Memória,Samsung,,,,
,495,À testar,SBR2014010324191,Memória,Smart,,,,
,496,Desconhecido,,,,,,,
,497,Desconhecido,,,,,,,
,498,À testar,SBR2015062606252,Memória,Smart,,Escritório,,
,499,À testar,SBR2010010615237,Memória,Smart,,Escritório,,
,500,Desconhecido,,,,,,,
,501,Desconhecido,,,,,,,
,502,Desconhecido,,,,,,,
,503,Desconhecido,,,,,,,
,504,Desconhecido,,,,,,,
,505,Desconhecido,,,,,,,
,506,Desconhecido,,,,,,,
,507,Desconhecido,,,,,,,
,508,Desconhecido,,,,,,,
,509,À testar,WJLBP-19XCH8-YWH3B,Memória,Kingston,,Escritório,,
,510,À testar,78JYT-19RC50-YV9J5,Memória,Kingston,,Escritório,,
,0511*,À testar,HMT351R7CFR8A,Memória,Hynix,,,,
,512,À testar,HMT351R7CFR8A-H9 T8 AC,Memória,Hynix,HMT351R7CFR8A-H9,122,,
,513,Desconhecido,,,,,,,
,514,Desconhecido,,,,,,,
,515,À testar,HMT351R7CFR8A-H9 T8 AC,Memória,Hynix,HMT351R7CFR8A-H9,Concert,,
,516,À testar,HMT351R7CFR8A-H9 T8 AD,Memória,Hynix,HMT351R7CFR8A-H9,122,,
,517,À testar,HMT351R7CFR8A-H9 T8 AC,Memória,Hynix,HMT351R7CFR8A-H9,122,,
,518,Desconhecido,,,,,,,
,519,À testar,HMT351R7CFR8A-H9 T8 AC,Memória,Hynix,HMT351R7CFR8A-H9,122,,
,0520*,À testar,HMT351R7BFR8A-H9 T7 AB,Memória,Hynix,HMT351R7BFR8A-H9,,,
,521,À testar,HMT351R7CFR4A-H9 T8 AC 1237,Memória,Hynix,HMT351R7CFR4A-H9,Concert,,
,0522*,À testar,HMT351R7BFR8A-H9 T7 AB,Memória,Hynix,HMT351R7BFR8A-H9,,,
,523,À testar,HMT351R7CFR4A-H9 T8 AC 1237,Memória,Hynix,HMT351R7CFR4A-H9,Concert,,
,524,À testar,SBR2014101329077,Memória,Smart,,Escritório,,
,525,À testar,SBR2020031200306,Memória,Smart,,Escritório,,
,526,À testar,HMT351R7BFR8A-H9 T8 AC,Memória,Hynix,HMT351R7CFR8A-H9,122,,
,527,À testar,HMT351R7CFR8A-H9 T8 AB,Memória,Hynix,HMT351R7CFR8A-H9,Estoque,,
,528,À testar,HMT351R7CFR8A-H9 T8 AB,Memória,Hynix,HMT351R7CFR8A-H9,122,,
,529,À testar,HMT351R7BFR8A-H9 T7 AB,Memória,Hynix,HMT351R7CFR8A-H9,960,,
,530,À testar,HMT351R7BFR8A-H9 T7 AB,Memória,Hynix,HMT351R7CFR8A-H9,960,,
,531,À testar,HMT351R7BFR8A-H9 T7 AB,Memória,Hynix,HMT351R7CFR8A-H9,Estoque,,
,532,À testar,HMT351R7BFR8A-H9 T7 AB,Memória,Hynix,HMT351R7CFR8A-H9,Estoque,,
,533,Desconhecido,,,,,962,,
,534,À testar,M393B5170FH0-CH9 1128,Memória,Samsung,M393B5170FH0-CH9,Concert,,
,535,À testar,,,,,,,
,536,À testar,M393B5170FH0-CH9 1128,Memória,Samsung,M393B5170FH0-CH9,Concert,,
,537,À testar,M393B5170FH0-CH9 1128,Memória,Samsung,M393B5170FH0-CH9,960,,
,538,Desconhecido,,,,,,,
,539,À testar,M393B5170FH0-CH9 1128,Memória,Samsung,M393B5170FH0-CH9,960,,
,540,À testar,M393B5170FH0-CH9 1128,Memória,Samsung,M393B5170FH0-CH9,Concert,,
,541,À testar,M393B5170FH0-CH9 1128,Memória,Samsung,M393B5170FH0-CH9,960,,
,542,À testar,M393B5273DH0-YH9 1206,Memória,Samsung,M393B5273DH0-YH9,,,
,543,Desconhecido,,,,,,,
,544,À testar,1074F64MX21042M,Memória,Samsung,M393B5273DH0-YH9,122,,
,545,À testar,1074F64MX2123JK,Memória,Samsung,M393B5273DH0-YH9,122,,
,546,À testar,1074F64MX2103LG,Memória,Samsung,M393B5273DH0-YH9,122,,
,547,À testar,1074F64MX2170CN,Memória,Samsung,M393B5273DH0-YH9,122,,
,548,À testar,1074F64MX2106YD,Memória,Samsung,M393B5273DH0-YH9,122,,
,549,À testar,1074F64MX21061X,Memória,Samsung,M393B5273DH0-YH9,122,,
,550,À testar,M393B5273DH0-YH9 1152,Memória,Samsung,M393B5273DH0-YH9,,,
,551,À testar,1074F64MX21223K,Memória,Samsung,M393B5273DH0-YH9,Estoque,,
,552,À testar,M393B5273DH0-YH9 1207,Memória,Samsung,M393B5273DH0-YH9,,,
,553,À testar,1074F64MX21224Z,Memória,Samsung,M393B5273DH0-YH9,Concert,,
,554,À testar,1074F64MX2103KA,Memória,Samsung,M393B5273DH0-YH9,122,,
,555,À testar,1074F64MX2122LB,Memória,Samsung,M393B5273DH0-YH9,122,,
,556,À testar,1074F12CN15001R,Memória,Samsung,M393B5273CH0-YH9,Estoque,,
,557,À testar,1074F64MX21219P,Memória,Samsung,M393B5273DH0-YH9,122,,
,558,À testar,1074F64MX21000B,Memória,Samsung,M393B5273DH0-YH9,122,,
,559,À testar,1074F64MX2121KF,Memória,Samsung,M393B5273DH0-YH9,Estoque,,
,560,À testar,1074F64MX200P9,Memória,Samsung,M393B5273DH0-YH9,962,,
,561,À testar,1074F64MX2010RP,Memória,Samsung,M393B5273DH0-YH9,962,,
,562,À testar,1074F64MX2170HX,Memória,Samsung,M393B5273DH0-YH9,962,,
,563,À testar,1074F64MX2170HV,Memória,Smart,M393B5273DH0-YH9,962,,
,564,À testar,1074F64MX2123L5,Memória,Samsung,M393B5273DH0-YH9,962,,
,565,À testar,1074F64MX2122KM,Memória,Samsung,M393B5273DH0-YH9,962,,
,566,À testar,SBR201011804520,Memória,Smart,M393B1K70CHD-CH9,Concert,,
,567,À testar,BR0X2VK SMART 155 0UIW,Memória,Samsung,M393B1K70CHD-CH9,Concert,,
,568,À testar,M393B1G70BH0-YK0,Memória,Samsung,M393B1G70BH0-YK0,122,,
,569,À testar,BRC51903Q8,Monitor,HP,HSTND-7091-A,OFC da Roupa,,
,570,Desconhecido,,,,,,,
,571,À testar,,Monitor,HP,,OFC da Roupa,,
,572,À testar,,Desktop,,,OFC da Roupa,,
,573,À testar,10912580,Monitor,Positivo,W1946PW,OFC da Roupa,,
,574,À testar,,Desktop,Asus,P8H61-M LE,Estoque,,
,575,À testar,1953AIA005118,Monitor,AOC,,OFC da Roupa,,
,576,À testar,,Desktop,HP,,OFC da Roupa,,
,577,À testar,1AD51S17H,Desktop,Positivo,Master D360,OFC da Roupa,,
,578,À testar,10907634,Monitor,Positivo,W1946PW,OFC da Roupa,,
,579,À testar,AAN73068916,Monitor,Positivo,,Escritório,,
,580,À testar,,Desktop,,,OFC da Roupa,,
,581,À testar,968GSX201200437,Desktop,,,OFC da Roupa,,
,582,Desconhecido,,,,,,,
,583,À testar,BRG321F439,,HP,Compaq Pro 6305,OFC da Roupa,,
,584,À testar,,Servidor,,,Estoque,,
,585,À testar,,,,,,,
,586,À testar,,Servidor,,,Estoque,,
,587,À testar,BRG228FD1G,Notebook,HP,Pavilion dm4-2165br,,,
,588,À testar,,Adaptador AC,,DIANYUAN/101-2,,,
,589,Desconhecido,,,,,,,
,590,À testar,PA-1650-02PB W8NW3,Adaptador AC,Dell,LA65NS2-01,,,
,591,À testar,WMAYP0F2F1EP,HD,HP,MB0500GCEHE,,,
,592,À testar,M39B5170FH0-CH9 1126,Memória,Samsung,,Concert,,
,593,À testar,M393B5170FH0-CH9 1126,Memória,Samsung,M393B5170FH0-CH9,Estoque,,
,594,À testar,M39B5170FH0-CH9 1126,Memória,Samsung,,,,
,595,À testar,M393B5170FH0-CH9 1126,Memória,Samsung,M393B5170FH0-CH9,Estoque,,
,596,À testar,M393B5170FH0-CH9 1126,Memória,Samsung,M393B5170FH0-CH9,Estoque,,
,597,À testar,M39B5170FH0-CH9 1126,Memória,Samsung,,Concert,,
,598,À testar,M39B5170FH0-CH9 1126,Memória,Samsung,,960,,
,599,À testar,M39B5170FH0-CH9 1126,Memória,Samsung,,960,,
,0599(?),À testar,MS3YX01S,HD,Hitachi,HDE721010SLA330,,,
,060?,À testar,,Placa Controladora,,,,,
,600,À testar,S2AHK22B,HD,Seagate,ST500DM002,960,,
,601,À testar,5QG1ALEB,HD,Seagate,ST3500630NS,,,
,602,À testar,Z3TEBS2D,HD,Seagate,ST500DM002,Estoque,,
,603,À testar,S2NWJ50B418605,HD,Samsung,HD103SJ,Estoque,,
,604,À testar,5H2K55ML,HD,Toshiba,HDS721050DLE630,Estoque,,
,605,Desconhecido,,,,,,,
,606,À testar,YTAC181002886,HD,SuperSSpeed,S540,Escritório,,
,607,À testar,,Desktop,Dell,PowerEdge T310,,,
,608,À testar,,Memória,Smart,,,,
,609,À testar,SBR2015050514781,Memória,Smart,,,,
,610,Desconhecido,,,,,,,
,611,À testar,CN-0JW063-13740-071-006R-A06,Placa Controladora,Dell,0JW063,Estoque,,
,612,À testar,SBR2010032007192,Memória,Smart,,Estoque,,
,613,À testar,SBR2010010615209,Memória,Smart,M378B2873EH1-CF8,Estoque,,
,614,À testar,SBR2010010615245,Memória,Smart,,Estoque,,
,615,À testar,SBR1013122123331,Memória,Smart,,Estoque,,
,616,À testar,SBR2013122123587,Memória,Smart,,Escritório,,
,617,À testar,SBR2010010615212,Memória,Smart,,Estoque,,
,618,À testar,,Memória,,,Estoque,,
,619,À testar,D401700003791,Memória,Megaware,,Escritório,,
,620,À testar,D401700009979,Memória,Megaware,,Escritório,,
,621,À testar,407DHK20071651,Memória,Brazil PC,BPC1333D3CL9/4G,Estoque,,
,622,À testar,407DHK20071625,Memória,Brazil PC,,Escritório,,
,623,À testar,CP19CP06219560,Memória,Excellence,Z471CAP32816-1022 0921,Estoque,,
,624,À testar,CP19CP06219558,Memória,Excellence,Z471CAP32816-1022 0921,Estoque,,
,625,À testar,BSMH1871515,Memória,Kingston,,Escritório,,
,626,À testar,CKMK16B1940,Memória,Kingston,,Escritório,,
,627,À testar,CKMK16B1940,Memória,Kingston,,Estoque,,
,628,À testar,AVF6456U64F9333GF-NYXBP,Memória,Avant,AVF6456U64F9333GF-NYXBP,Estoque,,
,629,À testar,AVF6456U64F9333GX-EXXP,Memória,Avant,M2F2G64CB88B7N-CG,Estoque,,
,630,À testar,MB8410112860005800,Memória,Ramaxel,RMR1870EF48E8W-1333,Estoque,,
,631,À testar,MB8410112860005705,Memória,Ramaxel,RMR1870EF48E8W-1333,Estoque,,
,632,À testar,MB8410112860004643,Memória,Ramaxel,RMR1870EF48E8W-1333,Estoque,,
,633,À testar,SBR202101280958,Memória,Smart,,Escritório,,
,634,À testar,2-NRXEF,Memória,Kingston,KVR1333D3N9/4G,Estoque,,
,635,À testar,HPMB3-YR9DX,Memória,Kingston,,Escritório,,
,636,À testar,39377,Memória,Hynix,HYMP525F72CP4N3-Y5,Estoque,,
,637,À testar,0V0964005DZ,Memória,Hynix,HYMP151F72CP4N3-Y5,Estoque,,
,638,À testar,39374,Memória,Hynix,HYMP525F72CP4N3-Y5,Estoque,,
,639,À testar,0V0964005CL,Memória,Hynix,HYMP151F72CP4N3-Y5,Estoque,,
,640,À testar,,Servidor,,,Estoque,,
,641,Desconhecido,,,,,,,
,642,Desconhecido,,,,,,,
,643,Desconhecido,,,,,,,
,644,À testar,,Memória,,,Lecil,,
,645,À testar,,Memória,,,Lecil,,
,646,À testar,,Memória,,,Lecil,,
,647,À testar,,Memória,,,Lecil,,
,648,À testar,,Memória,,,Concert,,
,649,À testar,,Memória,,,Concert,,
,650,À testar,,Memória,,,Concert,,
,651,À testar,11S77P8919YH10MS18T05W,Memória,Samsung,M393B1K70CH0-YF8,Estoque,,
,652,À testar,,Memória,,,Concert,,
,653,À testar,1E+15,Memória,Hynix,HMT31GR7BFR4C-PB,Estoque,,
,654,Desconhecido,,,,,Concert,,
,655,À testar,,Memória,,,Concert,,
,656,À testar,,Switch,Arista,7050QX-32S,,,
,657,À testar,,Servidor,HP,Proliant DL380 Gen9,,,
,658,À testar,,Servidor,HP,Proliant DL380 Gen9,,,
,659,À testar,,Switch,Arista,7050QX-32S,,,
,660,À testar,465769T+1314XY0FDA,Placa de Rede,Oracle,ATLS1QGE,Estoque,,
,661,À testar,465769T+1314XY0GE1,Placa de Rede,Oracle,ATLS1QGE,Estoque,,
,662,À testar,HMT31GR7CFR4A-PB T8 AF 1327,Memória,Hynix,,Escritório,,
,663,À testar,MO0177,Memória,Hynix,HYMP151F72CP4N3-Y5,Estoque,,
,664,À testar,MO0178,Memória,Hynix,HYMP151F72CP4N3-Y5,Estoque,,
,665,À testar,SBR2008050804316,Memória,Smart,M395T5750EZ4-CE6,Estoque,,
,666,À testar,SBR2007100102683,Memória,Smart,SG5SD42N2G1CDNDSED,Estoque,,
,667,À testar,SBR2007100102685,Memória,Smart,SG5SD42N2G1CDNDSED,Estoque,,
,668,À testar,SBR2007100102687,Memória,Smart,SG5SD42N2G1CDNDSED,Estoque,,
,669,À testar,HMT31GR7BFR4A-H9 T7 AE 1203,Memória,Hynix,,Concert,,
,670,À testar,HMT31GR7BFR4A-H9 T7 AB 1126,Memória,Hynix,,Concert,,
,671,À testar,MT36KSF2G72PZ-1G4E1FG,Memória,Micron,,Concert,,
,672,À testar,MT36KSF2G72PZ-1G4E1FG,Memória,Micron,MT36KSF2G72PZ-1G4,Estoque,,
,673,À testar,JTWTXZWJ,HD,DELL,HUS156030VLS600,Estoque,,
,674,À testar,JXYU54TN,HD,Dell,HUS156030VLS600,Estoque,,
,675,À testar,,HD,,,,,
,676,À testar,M391B5673EH1-CH9 0947,Memória,Samsung,,Escritório,,
,677,À testar,M391B5673EH1-CH9 0947,Memória,Samsung,,Escritório,,
,678,À testar,M391B5673EH1-CH9 0947,Memória,Samsung,,Escritório,,
,679,À testar,M391B5673EH1-CH9 0947,Memória,Samsung,,Escritório,,
,680,À testar,EXPI9301CTBLK,Placa de Rede,Intel,,,,
,681,À testar,465769T+1325ED027P,Placa Host Channel Adapter,Oracle,7057402,Estoque,,
,682,À testar,465769T+1324ED024Y,Placa Host Channel Adapter,Oracle,7057402,Estoque,,
,683,À testar,465769T+1324ED026K,Placa Host Channel Adapter,Oracle,7057402,Estoque,,
,684,À testar,465769T+1321TC060N,Placa Controladora,Oracle,7056272,,,
,685,À testar,465769T+1314XY0FDA,Placa de Rede,Oracle,ATLS1QGE,,,
,686,À testar,465769T+1314XY0GE1,Placa de Rede,Oracle,ATLS1QGE,Estoque,,
,687,À testar,465769T+1314XY0G2N,Placa de Rede,Oracle,ATLS1QGE,,,
,688,À testar,BLY2018090001,Switch,bLiy,BLY-2G4E-AB20,Estoque,,
,689,À testar,AA30147900455(000),Ethernet Bridge,Planet,FT-802(V4),Estoque,,
,690,À testar,BFD1318L23027,Placa de Rede,Dell Qlogic,QLE2562 - DELL,Estoque,,
,691,À testar,BFD1309J44660,Placa de Rede,Oracle Qlogic,QLE2562 - SUN,,,
,692,À testar,BFD1309J44565,Placa de Rede,Oracle Qlogic,QLE2562 - SUN,Estoque,,
,693,À testar,LFD1033E59696,Placa de Rede,Qlogic,QLE2462 - HP,Estoque,,
,694,À testar,LFD1142W38734,Placa de Rede,IBMX,QLE2562 - IBMX,Estoque,,
,695,À testar,BFD1202U14330,Placa de Rede,Qlogic,QLE2562 - IBMX,Estoque,,
,696,À testar,MLXVM94735084,Placa de Rede,Emulex,LPe11002-E,Estoque,,
,697,Desconhecido,,,,,,,
,698,À testar,RFD1227C33469,Placa de Rede,WB,QLE2562-WB,Estoque,,
,699,À testar,UA14D6Q,Placa de Rede,Emulex,LPE1150-E,Estoque,,
,700,À testar,43W7511YK50209CGAZ8,Placa de Rede,IBM,43W7512,Estoque,,
,701,À testar,MLXVM94734736,Placa de Rede,Emulex,LPe11002-E,Estoque,,
,702,À testar,RFC0922L04411,Placa de Rede,Qlogic,QLE2562,Estoque,,
,703,À testar,RFD1314K48457,Placa de Rede,Qlogic,QLE2562 - WB,Estoque,,
,704,À testar,0C3FD6SD,HD,Kingston,SUV400S37/240G,,,
,705,À testar,SBFKB1H5,HD,Kingston,SA400S37/240G,,,
,706,À testar,SBFKK1C3,HD,Kingston,SA400S37/480G,,,
,707,Desconhecido,,,,,,,
,708,À testar,BFHX1E4F,HD,Hitachi,HUA722020ALA330,Escritório - Concert,,
,709,DEFEITO,ZFL0CZCH,HD,Seagate,ST2000DM008,,,
,710,À testar,ZFL0CZSE,HD,Seagate,ST2000DM008,,,
,711,DEFEITO,ZFL0D04V,HD,Seagate,ST2000DM008,,,
,712,À testar,ZFL0D9X0,HD,Seagate,ST2000DM008,Estoque,,
,713,À testar,Y964K0IUF7EE,HD,Dell,MG04ACA200NY,,,
,714,À testar,,HD,,,,,
,715,Desconhecido,,,,,,,
,716,À testar,,HD,,,,,
,717,À testar,S36VJ9BGC10879,HD,Samsung,ST2000LM003,Estoque,,
,718,À testar,S33FJ5EF600286,HD,Samsung,ST1000LM024,Concert,,
,719,À testar,WXP1E884L7M4,HD,WD,WD10SPZX,Concert,,
,720,À testar,Y964K0IUF7EE,HD,Dell,MG04ACA200NY,Estoque,,
,721,À testar,,HD,,,,,
,722,À testar,WCC6Y6KHR5CS,HD,Western Digital,WD10EZEX,960,,
,723,À testar,,HD,,,,,
,724,À testar,Z1W5RSRW,HD,Lenovo,SL10A28664,960,,
,725,À testar,1803E10B5781,HD,Crucial,CT2000MX500SSD1,584,,
,726,Desconhecido,,,,,,,
,727,Desconhecido,,,,,,,
,728,Desconhecido,,,,,,,
,729,Desconhecido,,,,,,,
,730,À testar,BFHX4SUF,HD,Hitachi,HUA722020ALA330,Concert,,
,731,À testar,R106K0VK,HD,Hitachi,HDT725025VLA380,Estoque,,
,732,À testar,6VPKTT05,HD,Seagate,ST31000524AS,960,,
,733,À testar,Z1D3FXYV,HD,Seagate,ST1000DM003,,,
,734,À testar,S1DDSM3Q,HD,Seagate,ST1000DM003,,,
,735,À testar,W9A32ETV,HD,Seagate,ST1000DM003,,,
,736,À testar,9WJ00SJW,HD,Dell,ST3500414SS,Estoque,,
,737,À testar,9WJ02Y4X,HD,Dell,ST3500414SS,Estoque,,
,738,À testar,123103460FB9,HD,Micron,MTFDDAC050SAL,Concert,,
,739,À testar,1074F64MX21069G,Memória,Samsung,M393B5273DH0-YH9,122,,
,740,À testar,1074F64MX21045Q,Memória,Samsung,M393B5273DH0-YH9,962,,
,741,À testar,1074F64MX2123JM,Memória,Samsung,M393B5273DH0-YH9,962,,
,742,À testar,,HD,,,,,
,743,Desconhecido,,,,,,,
,744,Desconhecido,,,,,,,
,745,Desconhecido,,,,,,,
,746,Desconhecido,,,,,,,
,747,Desconhecido,,,,,,,
,748,Desconhecido,,,,,,,
,749,Desconhecido,,,,,,,
,750,À testar,Y050KK14Y113,Placa de Rede,Intel,49Y4242,,,
,751,À testar,Y050KK24T25B,Placa de Rede,Intel,49Y4242,,,
,752,À testar,Z1P56SF4,HD,Seagate,ST2000NM0011,Concert,,
,753,À testar,,Servidor,Dell,T110,,,
,754,À testar,1835,HD,Netcore,,,,
,755,À testar,M393B2G70QH0-YK0 1427,HD,Samsung,,,,
,756,À testar,M393B2G70D80-YK0 1445,HD,Samsung,,,,
,757,À testar,DPACWH6001,HD,Micron,,,,
,758,À testar,DPACYWG001,HD,Micron,,,,
,759,À testar,CN-0VM02C-77921-5CI-00GW-A12,,Dell,UCPA-801,,,
,760,À testar,9VMCDJFF,HD,Seagate,ST3500418AS,Escritório - Concert,,
,761,À testar,465769T+1324ED0267,Placa Host Channel Adapter,Oracle,7057402,Estoque,,
,762,À testar,,Placa de Rede,Sun,ATLS1QGE,Estoque,,
,763,À testar,BFD1309J44695,Placa de Rede,Qlogic,QLE2562 - SUN,Estoque,,
,764,À testar,BFD1309J44566,Servidor,Qlogic,QLE2562 - SUN,,,
,765,Desconhecido,,,,,,,
,766,À testar,NALDA-494M75-TW8H6,Memória,Kingston,KVR13N9S8/4,Estoque,,
,767,À testar,BLJR8-098MC5-7V9RR,Memória,Kingston,,,,
,768,À testar,36LVU-H9MM31-HWMKB,Memória,Kingston,,,,
,769,À testar,CBJNF-K91M6X-TV9LL,Memória,Kingston,KVR13N9S8/4,Estoque,,
,770,À testar,YTAI201202201,HD,SuperSSpeed,S540,,,
,771,À testar,WCAU44598756,HD,Western Digital,WD10EAVS,,,
,772,À testar,BTP170809VA018098,HD,Seagate,BTP010302001000,,,
,773,À testar,1LNS2V1,Desktop,Dell,Optiplex 990,,,
,774,À testar,HMT42GR7MFR4A-H9 T3 AF 1349,Memória,Hynix,HMT42GR7MFR4A-H9,,,
,775,À testar,HMT42GR7MFR4A-H9 T3 AF 1349,Memória,Hynix,HMT42GR7MFR4A-H9,,,
,776,À testar,HMT42GR7MFR4A-H9 T3 AF 1349,Memória,Hynix,,,,
,777,À testar,HMT42GR7MFR4A-H9 T3 AF 1349,Memória,Hynix,,,,
,778,À testar,298163,Memória,Hynix,HMT42GR7AFR4A-PB,,,
,779,À testar,298160,Memória,Hynix,HMT42GR7AFR4A-PB,,,
,780,À testar,MT36KSF2G72PZ-1G6E1H1 1520,Memória,Micron,,Concert,,
,781,À testar,MT36KSF2G72PZ-1G6E1HI 1428,Memória,Micron,,Concert,,
,782,À testar,MT36KSF2G72PZ-1G4E1FG 1325,Memória,Micron,,Concert,,
,783,À testar,MT36KSF2G72PZ-1G4E1FG 1325,Memória,Micron,,Concert,,
,784,À testar,MT36KSF2G72PZ-1G4E1FG 1321,Memória,Micron,,Concert,,
,785,À testar,MT36KSF2G72PZ-1G4E1FG 1325,Memória,Micron,,Concert,,
,786,À testar,MT36KSF2G72PZ-1G4E1FG 1325,Memória,Micron,,Concert,,
,787,À testar,MT36KSF2G72PZ-1G4E1FG 1325,Memória,Micron,,Concert,,
,788,À testar,MT36KSF2G72PZ-1G4E1FG 1325,Memória,Micron,,Concert,,
,789,À testar,MT36KSF2G72PZ-1G4E1FG 1325,Memória,Micron,,Concert,,
,790,À testar,80CE0216163228E5E1,Memória,Samsung,,,,
,791,À testar,M393B2G70EB0-YK0Q2 M1616,Memória,Samsung,,,,
,792,À testar,80CE0216163228E773,Memória,Samsung,,,,
,793,À testar,80CE0216163228CD5A,Memória,Samsung,,,,
,794,À testar,80CE0216163228ECF3,Memória,Samsung,,,,
,795,À testar,80CE0216163228CDA4,Memória,Samsung,,,,
,796,À testar,M393B2G70BH0-YK0 1344,Memória,Samsung,,,,
,797,À testar,1E+15,Memória,Samsung,,,,
,798,À testar,M393B2G70DB0-TK0 1343,Memória,Samsung,,,,
,799,À testar,M393B2G70DB0-YK0,Memória,Samsung,,,,
,800,À testar,1E+15,Memória,Samsung,,,,
,801,À testar,80CE0216163228CD85,Memória,Samsung,,,,
,802,À testar,80CE0316121567BCDF,Memória,Samsung,,,,
,803,À testar,Y050KK34H0JV,Placa de Rede,IBM,49Y4242,Estoque,,
,804,À testar,Y051KK37T0V8,Placa de Rede,IBM,49Y4242,Estoque,,
,805,À testar,MT36KSF2G72PZ-1G4E1FG 1321,Memória,Micron,,,,
,806,À testar,0V1534027QR,Memória,Micron,MT18KSF1G72PZ-1G6E1HE,122,,
,807,À testar,0V1534023M0,Memória,Micron,MT18KSF1G72PZ-1G6E1HE,122,,
,808,À testar,BR 00RTP1 11050 47H 0ID4,Memória,Smart,SH5722G4FJ8P6TNSQS,,,
,809,À testar,1.74337E+11,HD,Sandisk,SDSSDA-240,Estoque,,
,810,Desconhecido,,,,,,,
,811,À testar,BR 00RTP1 11050 47H 0IG1,Memória,Smart,SH5722G4FJ8P6TNSQS,,,
,812,À testar,BR 00RTP1 11050 47H 0IDJ,Memória,Smart,SH5722G4FJ8P6TNSQS,,,
,813,À testar,BR 00RTP1 11050 47H 0IHE,Memória,Smart,SH5722G4FJ8P6TNSQS,,,
,814,À testar,71L7A-YHXM4U-RR96B,Memória,Kingston,,,,
,815,À testar,71JW3-TH8M65-UR999,Memória,Kingston,,,,
,816,À testar,BJLRM-091H02-HWB5F,Memória,Kingston,KVR1333D3N9/2G,Estoque,,
,817,À testar,03JP6-R9D9LP-7V9YJ,Memória,Kingston,KVR1333D3N9/2G,Estoque,,
,818,À testar,W0LK8-19JCU4-WW9Q6,Memória,Kingston,KVR1333D3N9/2G,Estoque,,
,819,À testar,11086937-A-3012-L-0K61,Memória,Positivo,,,,
,820,À testar,11086937-A-3012-L-1044,Memória,Positivo,,,,
,821,À testar,11076675-A-2211-D-0338,Memória,Positivo,,,,
,822,À testar,11076675-A-3411-L-2654,Memória,Positivo,,,,
,823,À testar,YTAI200811023,HD,SuperSSpeed,S540,,,
,824,Desconhecido,,,,,,,
,825,À testar,CZVW287N,HD,HGST,HUS156060VLS600,Estoque,,
,826,À testar,CZW9LNYL,HD,HGST,HUS156060VLS600,Estoque,,
,827,À testar,Z1E44A0Y,HD,Seagate,ST2000DM001,Estoque,,
,828,À testar,SA8-8G1600U64X8,Memória,Smith Memory,,,,
,829,À testar,CP19CP06219559,Memória,Excellence,Z471CAP32816-1022 0921,Estoque,,
,830,À testar,90E2BA7A342C 204AD G18758-004,Placa de Rede,Intel,01P8D1,,,
,831,À testar,CN-047MCV-75435-3BD-0171-A05,Placa Controladora,Dell,UCS-71 - H200,Estoque,,
,832,À testar,CN-0JW063-13740-88V-00PS-A05,Placa Controladora,Dell,UCS-61,,,
,833,À testar,CN-0JW063-13740-978-03MC-A06,Placa Controladora,Dell,UCS-61,,,
,834,À testar,,Servidor,,,,,
,835,À testar,,Servidor,,,,,
,836,À testar,S1516JKG7,Memória,Kingston,,,,
,837,À testar,S1516JKF7,Memória,Kingston,,,,
,838,Desconhecido,,,,,,,
,839,Desconhecido,,,,,,,
,840,À testar,,,,,960,,
,841,À testar,S1516JKG8,Memória,Kingston,,,,
,842,À testar,Z1DCMJ3N,HD,Seagate,ST1000DM003,,,
,843,À testar,WCAU48363731,HD,Western Digital,WD10EADS-00L5B1,,,
,844,À testar,535DYWLNS,HD,Toshiba,DT01ACA100,Concert,,
,845,À testar,6SJ5HB5B,HD,Dell,HUS156030VLS600,Estoque,,
